Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
New Zealand,,,70,13,91,129,124,142,42,9,620
Panama,,,0,0,64,43,48,50,40,10,255
Peru,,,0,0,269,243,358,612,"1,539",116,"3,137"
South America (other countries which are not specifically mentioned here),,,42,194,89,62,0,66,96,,549
United States,,"9,000","2,265","2,182","26,261","27,552","22,408","21,727","27,199","7,558","146,152"
Uruguay,,,66,425,"1,844","2,199","2,014",983,"1,555",194,"9,280"
Venezuela,,,0,0,297,245,180,418,602,123,"1,865"
Other (Americas/Oceania),,318,313,0,148,3,8,44,12,238,"1,084"
Asia,,"80,027","242,200","37,119","56,208","19,456","91,433","184,245","22,845","2,271","736,354"
Afghanistan,,"1,600","2,303","1,106",516,132,57,21,13,,"5,648"
Armenia,,,0,0,0,0,0,"1,935",312,71,"2,278"
