Country,"GDP (USD bln, 2012)","GDP (USD bln, 2017)","GDP (USD PPP bln, 2012)","GDP (USD PPP bln, 2017)","Per capita (USD, 2012)","Per capita (USD, 2017)","Per capita (USD PPP, 2012)","Per capita (USD PPP, 2017)"
Morocco,97.17,140.01,170.95,242.78,"2,987.92","4,099.70","5,256.55","7,109.34"
Mozambique,14.64,23.76,26.22,41.71,652.00,958.25,"1,167.30","1,682.38"
Niger,6.56,9.65,13.53,20.29,421.56,532.81,869.94,"1,120.09"
Nigeria,272.55,388.42,450.54,676.25,"1,654.31","2,058.57","2,734.63","3,584.02"
Oman,79.97,89.97,90.66,117.23,"25,151.54","24,323.53","28,511.86","31,693.79"
Pakistan,230.53,274.82,514.56,662.44,"1,288.50","1,391.71","2,876.08","3,354.68"
Qatar,184.57,237.85,188.96,274.46,"100,377.54","106,320.28","102,768.69","122,684.13"
Saudi Arabia,657.05,778.75,740.53,985.79,"22,822.82","24,428.39","25,722.42","30,922.92"
Senegal,13.95,19.55,26.50,37.10,"1,013.34","1,261.40","1,925.30","2,393.44"
Sierra Leone,3.82,5.71,8.38,12.78,621.22,816.31,"1,360.58","1,825.47"
Sudan,51.58,57.89,80.43,102.35,"1,539.31","1,519.50","2,400.17","2,686.33"
