Year,Site,Winning team,Losing team,Series
1902,Lawrence,Kansas 16,Kansas State 0,KU 1–0
1903,Lawrence,Kansas 34,Kansas State 0,KU 2–0
1904,Manhattan,Kansas 41,Kansas State 4,KU 3–0
1905,Lawrence,Kansas 28,Kansas State 0,KU 4–0
1906,Manhattan,Kansas State 6,Kansas 4,KU 4–1
1907,Lawrence,Kansas 29,Kansas State 10,KU 5–1
1908,Lawrence,Kansas 12,Kansas State 6,KU 6–1
1909,Manhattan,Kansas 5,Kansas State 3,KU 7–1
1911,Manhattan,Kansas 6,Kansas State 0,KU 8–1
1912,Lawrence,Kansas 19,Kansas State 6,KU 9–1
1913,Manhattan,Kansas 26,Kansas State 0,KU 10–1
