Player,Years Played,Total W-L,Singles W-L,Doubles W-L
Baek Seung-Bok,2 (2001–2002),0–4,0–3,0–1
Chang Eui-jong,6 (1991–1996),13–11,8–7,5–4
Choi Boo-Kil,4 (1974–1977),2–4,2–1,0–3
Chung Hee-seok,5 (2002–2006),14–8,7–3,7–5
Chung Hee-Sung,"3 (2000, 2002–2003)",2–3,0–1,2–2
Chung Yong-Ho,"8 (1962, 1965, 1968–1969, 1971–1974)",1–18,1–11,0–7
Im Chung-Yang,4 (1964–1967),2–9,2–5,0–4
Jeon Chang-Dae,3 (1979–1981),5–5,5–4,0–1
Jeon Young-Dai,"7 (1979–1983, 1985–1986)",14–10,11–4,3–6
Ji Seung-Ho,2 (1991–1992),3–3,2–2,1–1
Ju Chang-Nam,4 (1975–1978),4–8,2–5,2–3
