Year,City,"State, province, dept., etc.",Country,Notes
4000 BC,Puerto Hormiga Culture,Cartagena,Colombia,
3710 BC,Aspero,Norte Chico,Peru,
2627 BC,Caral,Norte Chico,Peru,
700 BC,Ticul,Yucatán,Mexico,
500 BC,Cholula,Puebla,Mexico,
300 BC,Teotihuacan,México,Mexico,In the Valley of Mexico
200,Mitla,Oaxaca,Mexico,
524,Ejutla,Oaxaca,Mexico,[1]
500,Cuenca,Azuay,Ecuador,
600,Cahokia,Illinois,United States,
1000,L'Anse aux Meadows,Newfoundland,Canada,
1000,Acoma Pueblo and Taos Pueblo,New Mexico,United States,
1050,Motul,Yucatán,Mexico,
1100,Cusco,Cusco Province,Peru,
1100,Oraibi,Arizona,United States (Hopi Reservation),[2]
1200,Ojinaga,Chihuahua,Mexico,
1325,Tenochtitlan,Distrito Federal,Mexico,Later called Mexico City
1450,Zuni Pueblo,New Mexico,United States,[3]
1470,Iximche,Chimaltenango,Guatemala,
1492,La Navidad,Nord-Est,Haiti,
1493,La Isabela,Puerto Plata,Dominican Republic,
1498,Santo Domingo,Distrito Nacional,Dominican Republic,Capital of the Dominican Republic. Oldest continuously inhabited European established settlement in the Americas.
1502,Santa Cruz del Seibo,El Seibo,Dominican Republic,
1504,Azua de Compostela,Azua,Dominican Republic,
1504,Santiago de los Caballeros,Santiago,Dominican Republic,
1505,Cotuí,Sánchez Ramírez,Dominican Republic,
1506,Salvaleón de Higüey,La Altagracia,Dominican Republic,
1508,Bonao,Monseñor Nouel,Dominican Republic,
1508,Caparra,Puerto Rico,United States,Abandoned in 1521 with the removal of the capital to San Juan.
1510,Santa Maria la Antigua del Darien,Urabá,Colombia,First city founded by Europeans on the continent of South America.
1510,Nombre de Dios,Colon,Panama,Oldest continuously inhabited European established settlement in Panama.
1511,Baracoa,Guantánamo,Cuba,"Oldest continuously inhabited European established settlement in Cuba, former capital of Cuba."
1514,Santiago,Santiago,Cuba,
1515,Havana,Havana,Cuba,
1519,"La Villa Rica de la Vera Cruz, (Veracruz)",Veracruz,Mexico,Oldest continuously inhabited European established settlement in Mexico.
1519,Panama City,Panamá,Panama,First European established city on the Pacific Coast of the Americas
1520,Hato Mayor del Rey,Hato Mayor,Dominican Republic,
1521,Cumaná,Sucre,Venezuela,Oldest continuously inhabited European established settlement in Venezuela.
1521,San Juan,Puerto Rico,United States,"Oldest continuously inhabited European established settlement in Puerto Rico, and in the United States. Oldest continuously inhabited state or territorial capital in the United States."
1524,Granada,Granada,Nicaragua,Oldest continuously inhabited European established settlement in Nicaragua.
1524,Tecpán Guatemala,Chimaltenango,Guatemala,First capital of Guatemala and oldest continuously inhabited European established settlement in Guatemala.
1524,Trujillo,Colón,Honduras,Oldest continuously inhabited European established settlement in Honduras.
1525,Santa Marta,Magdalena,Colombia,Oldest continuously inhabited European established settlement in Colombia.
1525,Acapulco,Guerrero,Mexico,[4]
1525,San Salvador,San Salvador,El Salvador,"Founded in 1525, rebuilt and changed locations twice afterwards (1528 and 1545) and oldest continuously inhabited European established settlement in El Salvador."
1526,Acámbaro,Guanajuato,Mexico,
1526,Chimaltenango,Chimaltenango,Guatemala,
1528,San Cristóbal de las Casas,Chiapas,Mexico,Originally called Villa Real de Chiapa.
1529,Maracaibo,Zulia,Venezuela,
1530,San Blas,Nayarit,Mexico,By Nuño Beltrán [5]
1531,Puebla,Puebla,Mexico,"by Fr. Toribio de Benavente (\Motolinía\"") on 16 April [6]"""
1532,Oaxaca,Oaxaca,Mexico,
1532,Piura,Piura,Peru,
1532,São Vicente,São Paulo,Brazil,"Oldest continuously inhabited European established settlement in Brazil, oldest Portuguese established settlement in the New World."
1532,Tepic,Nayarit,Mexico,As capital of Nueva Galicia [7]
1533,Cananéia,São Paulo,Brazil,Second Oldest City in Brazil
1533,Cartagena de Indias,Bolívar,Colombia,
1534,Otavalo,Imbabura,Ecuador,
1534,Quito,Pichincha,Ecuador,Oldest continuously inhabited European established settlement in Ecuador.
1534,Spanish Town,Saint Catherine,Jamaica,Founded by the Spanish as Santiago de la Vega or St. Jago de la Vega. Oldest continuously inhabited European established settlement in Jamaica.
1534,Trujillo,La Libertad,Peru,Oldest continuously inhabited European established settlement in Peru.
1535,Lima,Lima,Peru,
1535,Igarassu,Pernambuco,Brazil,"Site of first European settlement in Brazil, the feitoria of Igarassu, in 1516."
1535,Olinda,Pernambuco,Brazil,One of the best-preserved colonial cities in Brazil.
1535,Vila Velha,Espírito Santo,Brazil,
1535,Paria,Oruro,Bolivia,
1536,Santiago de Cali,Valle del Cauca,Colombia,
