M,Date,Tournament,Round,Ground,Opponent,Score,Attendance,Dinamo Scorers,Report
1,13 Jul,UCL,QR2,H,Koper,5 – 1,"7,000","Mandžukić (2), Slepička, Sammir, Etto",Sportnet.hr
2,17 Jul,Supercup,N/A,H,Hajduk Split,1 – 0,"8,000",Bišćan,Sportnet.hr
3,20 Jul,UCL,QR2,AR,Koper,0 – 3,"2,000",,Sportnet.hr
4,24 Jul,1. HNL,1,H,Hrvatski Dragovoljac,4 – 1,350,"Morales, Sammir, Slepička, Mesarić",Sportnet.hr
5,27 Jul,UCL,QR3,A,Sheriff Tiraspol,1 – 1,"10,000",Sammir,Sportnet.hr
6,31 Jul,1. HNL,2,H,Rijeka,1 – 2,"3,500",Sammir,Sportnet.hr
7,04 Aug,UCL,QR3,H,Sheriff Tiraspol,1 – 1,"10,000",Sammir,Sportnet.hr
8,07 Aug,1. HNL,3,A,Varaždin,1 – 1,"3,000",Rukavina,Sportnet.hr
9,14 Aug,1. HNL,4,H,Karlovac,4 – 2,400,"Sammir (2), Kramarić, Rukavina",Sportnet.hr
10,19 Aug,UEL,Play-off,A,Győri ETO,2 – 0,"8,000",Rukavina (2),Sportnet.hr
11,22 Aug,1. HNL,5,A,Slaven Belupo,2 – 0,"4,000","Rukavina, Sammir",Sportnet.hr
